epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,914.255,0.14811,0.13829,0.77215,0.9998,1,0.995,0.99484,0.11081,0.10349,0.76081,9.03625e-05,9.03625e-05,9.03625e-05
131,921.124,0.15184,0.14055,0.77418,0.99981,1,0.995,0.99498,0.09607,0.09829,0.75983,8.9125e-05,8.9125e-05,8.9125e-05
132,928.058,0.1549,0.14162,0.77445,0.99982,1,0.995,0.99497,0.09551,0.09798,0.75982,8.78875e-05,8.78875e-05,8.78875e-05
133,935.01,0.16015,0.14404,0.77482,0.99978,1,0.995,0.99497,0.08902,0.09374,0.75954,8.665e-05,8.665e-05,8.665e-05
134,941.831,0.15578,0.14014,0.77335,0.99981,1,0.995,0.9949,0.09948,0.09791,0.75989,8.54125e-05,8.54125e-05,8.54125e-05
135,948.679,0.14709,0.13635,0.77362,0.99981,1,0.995,0.99494,0.10314,0.09899,0.76008,8.4175e-05,8.4175e-05,8.4175e-05
136,955.491,0.15569,0.14203,0.77388,0.9998,1,0.995,0.99493,0.09242,0.0958,0.75997,8.29375e-05,8.29375e-05,8.29375e-05
137,962.358,0.1466,0.1357,0.77374,0.99983,1,0.995,0.99491,0.09542,0.09523,0.75996,8.17e-05,8.17e-05,8.17e-05
138,969.31,0.14578,0.13529,0.77466,0.99982,1,0.995,0.99485,0.11216,0.10303,0.7604,8.04625e-05,8.04625e-05,8.04625e-05
139,976.176,0.1526,0.14082,0.77235,0.99981,1,0.995,0.99487,0.10492,0.09982,0.76016,7.9225e-05,7.9225e-05,7.9225e-05
140,983.103,0.14445,0.13542,0.77294,0.99981,1,0.995,0.99486,0.09854,0.0971,0.75975,7.79875e-05,7.79875e-05,7.79875e-05
141,989.969,0.14784,0.13776,0.77331,0.99982,1,0.995,0.99497,0.08926,0.09276,0.75936,7.675e-05,7.675e-05,7.675e-05
142,996.839,0.14619,0.13651,0.77185,0.99981,1,0.995,0.99496,0.09178,0.09327,0.75987,7.55125e-05,7.55125e-05,7.55125e-05
143,1003.66,0.14486,0.13541,0.77399,0.99982,1,0.995,0.99493,0.09126,0.0932,0.75979,7.4275e-05,7.4275e-05,7.4275e-05
144,1010.66,0.14652,0.13578,0.77339,0.99981,1,0.995,0.99481,0.09849,0.09599,0.76021,7.30375e-05,7.30375e-05,7.30375e-05
145,1017.59,0.14278,0.13468,0.77329,0.99982,1,0.995,0.99489,0.10501,0.0981,0.76063,7.18e-05,7.18e-05,7.18e-05
146,1024.43,0.14539,0.13514,0.77297,0.99981,1,0.995,0.99491,0.10541,0.09923,0.76029,7.05625e-05,7.05625e-05,7.05625e-05
147,1031.3,0.14088,0.13373,0.77416,0.9998,1,0.995,0.99499,0.09198,0.09272,0.75973,6.9325e-05,6.9325e-05,6.9325e-05
148,1038.15,0.14545,0.1363,0.773,0.9998,1,0.995,0.99499,0.09095,0.09256,0.75957,6.80875e-05,6.80875e-05,6.80875e-05
149,1045.21,0.14096,0.13255,0.77319,0.99981,1,0.995,0.99499,0.09362,0.09353,0.75943,6.685e-05,6.685e-05,6.685e-05
150,1052.35,0.13946,0.1306,0.77146,0.9998,1,0.995,0.99497,0.09418,0.09407,0.75942,6.56125e-05,6.56125e-05,6.56125e-05
151,1059.2,0.14147,0.13264,0.77218,0.99981,1,0.995,0.995,0.08891,0.09126,0.75919,6.4375e-05,6.4375e-05,6.4375e-05
152,1065.91,0.14319,0.13331,0.77257,0.99983,1,0.995,0.99496,0.094,0.09387,0.75941,6.31375e-05,6.31375e-05,6.31375e-05
153,1072.58,0.14103,0.1321,0.77244,0.99982,1,0.995,0.9949,0.10252,0.09696,0.75978,6.19e-05,6.19e-05,6.19e-05
154,1079.41,0.14257,0.1318,0.77284,0.99981,1,0.995,0.99499,0.09129,0.09176,0.75938,6.06625e-05,6.06625e-05,6.06625e-05
155,1086.29,0.14196,0.13243,0.77285,0.99981,1,0.995,0.99499,0.09109,0.09151,0.75935,5.9425e-05,5.9425e-05,5.9425e-05
156,1093.23,0.14354,0.13314,0.7708,0.9998,1,0.995,0.99496,0.09768,0.09499,0.75966,5.81875e-05,5.81875e-05,5.81875e-05
157,1099.97,0.14086,0.13116,0.77212,0.9998,1,0.995,0.99496,0.10117,0.09499,0.75973,5.695e-05,5.695e-05,5.695e-05
158,1106.68,0.13832,0.13027,0.77338,0.99981,1,0.995,0.99497,0.09423,0.09382,0.75954,5.57125e-05,5.57125e-05,5.57125e-05
159,1113.34,0.13788,0.13013,0.77255,0.99981,1,0.995,0.99497,0.08879,0.09067,0.75907,5.4475e-05,5.4475e-05,5.4475e-05
160,1119.95,0.13843,0.13043,0.77307,0.99981,1,0.995,0.99497,0.09473,0.09291,0.7596,5.32375e-05,5.32375e-05,5.32375e-05
161,1126.82,0.13793,0.12953,0.77342,0.99981,1,0.995,0.99498,0.09115,0.09146,0.75939,5.2e-05,5.2e-05,5.2e-05
162,1133.58,0.13738,0.12993,0.77347,0.99981,1,0.995,0.99495,0.09191,0.09168,0.75935,5.07625e-05,5.07625e-05,5.07625e-05
163,1140.33,0.13929,0.12984,0.77207,0.9998,1,0.995,0.99494,0.09932,0.09413,0.7596,4.9525e-05,4.9525e-05,4.9525e-05
164,1146.96,0.13611,0.12843,0.77169,0.99981,1,0.995,0.99498,0.08848,0.09036,0.75922,4.82875e-05,4.82875e-05,4.82875e-05
165,1153.75,0.14057,0.13016,0.7716,0.99982,1,0.995,0.99498,0.08541,0.08823,0.75915,4.705e-05,4.705e-05,4.705e-05
166,1160.46,0.13817,0.12887,0.7724,0.99981,1,0.995,0.99498,0.08892,0.08917,0.75925,4.58125e-05,4.58125e-05,4.58125e-05
167,1167.37,0.13547,0.12734,0.77054,0.99981,1,0.995,0.99496,0.09067,0.09002,0.75942,4.4575e-05,4.4575e-05,4.4575e-05
168,1174.19,0.1375,0.12805,0.77265,0.99981,1,0.995,0.99496,0.08933,0.08926,0.75945,4.33375e-05,4.33375e-05,4.33375e-05
169,1181,0.13467,0.12744,0.77118,0.99982,1,0.995,0.99497,0.08995,0.08963,0.75934,4.21e-05,4.21e-05,4.21e-05
170,1187.85,0.13554,0.12725,0.77264,0.99982,1,0.995,0.99499,0.09605,0.09227,0.75949,4.08625e-05,4.08625e-05,4.08625e-05
171,1194.55,0.13445,0.12567,0.77277,0.99981,1,0.995,0.99496,0.0988,0.09259,0.7597,3.9625e-05,3.9625e-05,3.9625e-05
172,1201.3,0.13545,0.12663,0.77336,0.99981,1,0.995,0.99498,0.08682,0.08703,0.7591,3.83875e-05,3.83875e-05,3.83875e-05
173,1208.06,0.13378,0.12614,0.77176,0.99981,1,0.995,0.995,0.08688,0.08764,0.75917,3.715e-05,3.715e-05,3.715e-05
174,1214.9,0.13399,0.12682,0.77279,0.99982,1,0.995,0.99498,0.08729,0.08794,0.75901,3.59125e-05,3.59125e-05,3.59125e-05
175,1221.77,0.13388,0.12601,0.77137,0.99983,1,0.995,0.99499,0.08497,0.08657,0.7589,3.4675e-05,3.4675e-05,3.4675e-05
176,1228.56,0.1312,0.12416,0.77138,0.99981,1,0.995,0.99496,0.08403,0.08601,0.75881,3.34375e-05,3.34375e-05,3.34375e-05
177,1235.26,0.13043,0.12273,0.77236,0.9998,1,0.995,0.99497,0.09019,0.08841,0.75915,3.22e-05,3.22e-05,3.22e-05
178,1242.07,0.13125,0.12313,0.77248,0.99982,1,0.995,0.99498,0.08402,0.08621,0.75871,3.09625e-05,3.09625e-05,3.09625e-05
179,1248.87,0.1303,0.12306,0.77287,0.99981,1,0.995,0.99497,0.08965,0.08865,0.75891,2.9725e-05,2.9725e-05,2.9725e-05
180,1255.51,0.13147,0.12393,0.77132,0.99981,1,0.995,0.99497,0.09034,0.08865,0.75899,2.84875e-05,2.84875e-05,2.84875e-05
181,1262.25,0.13476,0.12546,0.77227,0.9998,1,0.995,0.99496,0.09147,0.08929,0.75921,2.725e-05,2.725e-05,2.725e-05
182,1269.03,0.13155,0.12346,0.77224,0.99982,1,0.995,0.99498,0.08682,0.08714,0.75907,2.60125e-05,2.60125e-05,2.60125e-05
183,1275.67,0.13048,0.12171,0.77166,0.99981,1,0.995,0.99499,0.08827,0.08785,0.75911,2.4775e-05,2.4775e-05,2.4775e-05
184,1282.33,0.12731,0.12096,0.77205,0.99982,1,0.995,0.99499,0.08677,0.08643,0.75893,2.35375e-05,2.35375e-05,2.35375e-05
185,1289.15,0.13028,0.12248,0.77145,0.99982,1,0.995,0.99497,0.08715,0.08731,0.75888,2.23e-05,2.23e-05,2.23e-05
186,1295.97,0.12893,0.1216,0.77141,0.99982,1,0.995,0.99496,0.09087,0.08848,0.75898,2.10625e-05,2.10625e-05,2.10625e-05
187,1303.09,0.13001,0.12168,0.7706,0.99982,1,0.995,0.99497,0.09073,0.08826,0.75908,1.9825e-05,1.9825e-05,1.9825e-05
188,1309.79,0.13114,0.12253,0.77059,0.99982,1,0.995,0.99499,0.08748,0.08646,0.75919,1.85875e-05,1.85875e-05,1.85875e-05
